CÓDIGO CHAVE PIX,CÓDIGO OCORRÊNCIA,CPF ENVOLVIDO,DATA OCORRÊNCIA,ESTADO OCORRÊNCIA,HORÁRIO OCORRÊNCIA,MUNICÍPIO OCORRÊNCIA,NOME ENVOLVIDO,REGISTRO DA VÍTIMA,TIPO DE CHAVE PIX,TIPOLOGIA,VALOR PAGAMENTO
061.425.738-71,PIX-01005,869.271.534-46,2022-09-02 00:00:00,PB,1899-12-30 17:42:52,JOÃO PESSOA,GABRIELA CASTRO,"VÍTIMA RELATA QUE FOI ENGANADA POR UM FALSO ANÚNCIO DE EMPREGO, ONDE FOI SOLICITADO UM PIX PARA 'TAXAS DE PROCESSAMENTO'.",CPF,FALSA OFERTA DE EMPREGO,R$ 2020
089.431.257-04,PIX-01319,089.431.257-04,2022-11-08 00:00:00,SP,1899-12-30 10:01:53,SÃO PAULO,ANA CAROLINA REZENDE,"DECLARANTE FOI ENGANADO POR UM GOLPE DE 'FALSO PRÊMIO', ONDE FOI SOLICITADO UM DEPÓSITO VIA PIX PARA LIBERAÇÃO DO PRÊMIO PROMETIDO, QUE NUNCA EXISTIU.",CPF,FALSO PREMIO,R$ 1240
089.431.257-04,PIX-01394,089.431.257-04,2022-11-24 00:00:00,SP,1899-12-30 10:43:20,OSASCO,ANA CAROLINA REZENDE,"VÍTIMA RELATA QUE CAIU EM UM GOLPE DE LOTERIA, ONDE FOI SOLICITADO UM PIX PARA 'TAXAS ADMINISTRATIVAS' PARA LIBERAR UM PRÊMIO INEXISTENTE.",CPF,FALSO PREMIO,R$ 1880
089.431.257-04,PIX-01447,089.431.257-04,2022-12-10 00:00:00,BA,1899-12-30 12:18:12,SALVADOR,ANA CAROLINA REZENDE,"VÍTIMA INFORMA TER RECEBIDO UMA LIGAÇÃO DE UM FALSO FUNCIONÁRIO DO BANCO SOLICITANDO UM PIX PARA 'CONFIRMAR' SUA CONTA, APÓS O QUE OBSERVARAM MOVIMENTAÇÕES SUSPEITAS EM SUA CONTA.",CPF,FALSO ATENDENTE,R$ 4490
089.431.257-04,PIX-01483,089.431.257-04,2022-12-21 00:00:00,RS,1899-12-30 08:17:34,PORTO ALEGRE,ANA CAROLINA REZENDE,"VÍTIMA RELATA QUE APÓS INSERIR SEUS DADOS EM UM SITE FALSO DE VENDAS, UM VALOR FOI TRANSFERIDO VIA PIX SEM SUA AUTORIZAÇÃO.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 1430
089.431.257-04,PIX-01517,089.431.257-04,2022-12-29 00:00:00,PA,1899-12-30 10:55:38,BELÉM,ANA CAROLINA REZENDE,VÍTIMA RELATA QUE RECEBEU UMA LIGAÇÃO DE UM FALSO SOBRINHO SOLICITANDO DINHEIRO VIA PIX PARA UMA EMERGÊNCIA MÉDICA.,CPF,FALSO PARENTE OU AMIGO EM NECESSIDADE,R$ 4300
089.431.257-04,PIX-01579,089.431.257-04,2023-01-14 00:00:00,PA,1899-12-30 14:22:59,BELÉM,ANA CAROLINA REZENDE,"VÍTIMA FOI ENGANADA POR UM FALSO SITE DE COMPRA E VENDA DE CRIPTOMOEDAS, REALIZANDO UM PIX E NÃO RECEBENDO AS MOEDAS PROMETIDAS.",CPF,FALSA VENDA DE PRODUTO OU SERVIÇO,R$ 2960
089.431.257-04,PIX-01626,089.431.257-04,2023-01-26 00:00:00,PA,1899-12-30 15:49:13,BELÉM,ANA CAROLINA REZENDE,"VÍTIMA RELATA QUE RECEBEU UM EMAIL FALSO INFORMANDO SOBRE UMA DÍVIDA. AO TENTAR RESOLVER A SITUAÇÃO, FORNECEU DADOS PESSOAIS E REALIZOU UM PIX NO VALOR SOLICITADO.",CPF,FALSA OFERTA DE EMPREGO,R$ 340
089.431.257-04,PIX-01680,089.431.257-04,2023-02-06 00:00:00,PA,1899-12-30 22:47:42,BELÉM,ANA CAROLINA REZENDE,"VÍTIMA RELATA QUE, APÓS TENTAR VENDER UM ITEM ONLINE, UM FALSO COMPRADOR ENGANOU-A COM UM COMPROVANTE DE PAGAMENTO POR PIX EDITADO, LEVANDO-A A ENTREGAR O ITEM SEM RECEBER O PAGAMENTO.",CPF,COMPROVANTE FALSO,R$ 2010
137.284.095-88,PIX-00141,137.284.095-88,2022-02-09 00:00:00,DF,1899-12-30 08:42:30,BRASÍLIA,CAUÊ PIRES,"VÍTIMA ENGANADA POR UM FALSO SORTEIO DE CARRO, SOLICITANDO PIX PARA 'TAXAS DE ENTREGA'.",CPF,FALSO PREMIO,R$ 1180
